Date,Day,Counts
2020_03_01,1,1
2020_03_02,2,5
2020_03_03,3,5
2020_03_04,4,5
2020_03_05,5,5
2020_03_06,6,6
2020_03_07,7,7
2020_03_08,8,7
2020_03_09,9,7
2020_03_10,10,7
2020_03_11,11,11
2020_03_12,12,15
2020_03_13,13,26
2020_03_14,14,41
2020_03_15,15,53
2020_03_16,16,82
2020_03_17,17,93
2020_03_18,18,118
2020_03_19,19,164
2020_03_20,20,203
2020_03_21,21,251
2020_03_22,22,316
2020_03_23,23,367
2020_03_24,24,405
2020_03_25,25,475
2020_03_26,26,585
2020_03_27,27,717
2020_03_28,28,848
2020_03_29,29,993
2020_03_30,30,1094
2020_03_31,31,1215
2020_04_01,32,1378
2020_04_02,33,1510
2020_04_03,34,1688
2020_04_04,35,1890
2020_04_05,36,2143
2020_04_06,37,2439
2020_04_07,38,2785
2020_04_08,39,3181
2020_04_09,40,3441
2020_04_10,41,3844
2020_04_11,42,4219
2020_04_12,43,4661
2020_04_13,44,5014
2020_04_14,45,5339
2020_04_15,46,5847
2020_04_16,47,6297
2020_04_17,48,6875
2020_04_18,49,7497
2020_04_19,50,8261
2020_04_20,51,8772
2020_04_21,52,9501
2020_04_22,53,10554
2020_04_23,54,11633
2020_04_24,55,12872
2020_04_25,56,13842
2020_04_26,57,14677
2020_04_27,58,15529
2020_04_28,59,16752
2020_04_29,60,17779
2020_04_30,61,19224
2020_05_01,62,20739
2020_05_02,63,22088
2020_05_03,64,23471
2020_05_04,65,24905
2020_05_05,66,26025
2020_05_06,67,27634
2020_05_07,68,29616
2020_05_08,69,31522
2020_05_09,70,33460
2020_05_10,71,35022
2020_05_11,72,36327
2020_05_12,73,38324
2020_05_13,74,40186
2020_05_14,75,42595
2020_05_15,76,45032
2020_05_16,77,47144
2020_05_17,78,49219
2020_05_18,79,51633
2020_05_19,80,54346
2020_05_20,81,56594
2020_05_21,82,59567
2020_05_22,83,62527
2020_05_23,84,65856
2020_05_24,85,68620
2020_05_25,86,71105
2020_05_26,87,74560
2020_05_27,88,78023
2020_05_28,89,81400
2020_05_29,90,84627
2020_05_30,91,87512
2020_06_01,92,90664
2020_05_32,93,93435
